raw_text,hasil_preprocessing,text_length
4.02 - 2.03 = 1.99.. sebab minggu lepas harga ron 95 tanpa budi95 naik ke RM4.02/liter.. jadi harga keseluruhan jadi lain.. nie pon masih ramai x faham 😐,minggu lepas harga ron budi95_negated naik rm4 liter harga nie pon masih ramai faham,14
"@regar_op0sisi @jokowi @prabowo Prabowonya goblok sih percaya aja sama pembisiknya, padahal dibohongin terus. Rupiah anjlok sampai level terendah aja dia ngga tau, Purbaya mau ketemu bowo langsung aja susah, harus lewat perantara seskab.",jokow prabowo prabowonya goblok percaya pembisiknya dibohongin rupiah anjlok level terendah ngga purbaya ketemu bowo langsung susah harus perantara seskab,20
Penyanyinya juga 0 rupiah ga sih itungannya..? 😂😂,penyanyinya rupiah tidak itungannya tertawa,5
@juhoonsf udah dinaikkin harga soalna harga ayam di pasar udah naik,dinaikkin harga soalna harga ayam pasar naik,7
"Harga BBM Non Subsidi Naik, Ekonom UGM: Wajar Ikuti Harga Minyak Dunia
https://t.co/FHTdoiC2UJ",harga bahan_bakar_minyak non subsidi naik ekonom ugm wajar ikuti harga minyak dunia,12
@BendiTheBagak Nak minum free ler tu. Tau lah harga barang semua naik. Tak usah gaduh. Cakap jer. Insya-Allah org bagi. Malaysia pemurah.,nak minum free ler harga barang naik gaduh cakap jer insya allah orang malaysia pemurah,15
@juhoonsf MALES UDAH NAIK HARGA NYA,males naik harga,3
yuan naik terpantau harga wig masih stabil.,yuan naik terpantau harga wig masih stabil,7
"Yuk unblock imei,baypas ,simlock kalian sekarang sebelum harga naik guys,buruan klik wa kita 

TRI ONLY
3 BULAN
BEACUKAI

PROSES CEPAT DAN GARANSI 90 HARI
WA ADMIN✅:
https://t.co/wargOd9aiB https://t.co/sltqw3O7NE",unblock imei baypas simlock harga naik guys buruan klik tri only bulan beacukai proses cepat garans hari admin,18
"Video: BI Siapkan 7 Jurus ""Penyelamatan"" Rupiah, Seberapa Efektif? https://t.co/ICHRw6ndqM",video bi siap jurus penyelamat rupiah efektif,7
"8. liberalisasi impor pangan strategis

confidence: 75%

proteksi beras, gula, garam, daging menjaga harga tinggi. yang paling diuntungkan bukan petani kecil, tapi importir berquota. liberalisasi = harga pangan turun, daya beli naik.

kenapa belum: kuota impor adalah salah satu bisnis paling menguntungkan di indonesia. dipertahankan habis-habisan oleh oligarki pangan yang punya akses langsung ke pengambil keputusan.",liberalisas impor pangan strategis confidence proteks beras gula garam daging menjaga harga diuntung petani_negated importir berquota liberalisas harga pangan turun daya beli naik kuota_negated impor salah bisnis menguntung indonesia dipertahan habis oligark pangan punya akses langsung pengambil keputus,38
"@txtfrombrand Gw user telkomsel juga sering kena spam telepon dari nomer tidak di kenal, sekalinya di angkat ternyata dari rupiah cepat. Akhirnya tiap ada panggilan tidak di kenal langsung gw arahin aja ke cs telkomsel 188 sekarang malah udah gak pernah ada lagi panggilan spam 😹",telkomsel kena spam telepon nomer tidak kenal sekalinya angkat rupiah cepat panggil tidak kenal langsung arahin telkomsel pernah_negated panggil spam,20
"@_darafi @epicurina Efek samping daya beli masyarakat. Bisa aja sih dibikin dagingnya banyak, tapi harga otomatis naik. Dan jadi ga terjangkau lagi buat banyak orang.",efek samping daya beli masyarakat bisa dibikin dagingnya harga otomatis naik terjangkau_negated orang,13
"@NotHumannn13 Lebih ke bertanya, kemana inflasi rupiah yang sangat luar biasa masih kalau bukan ke pasar saham

Pasar saham (SnP all time high ditengah uncertainty seperti ini) naik karena cetak uang luar biasa, bitcoin pun juga sama, lalu dimana sekarang kapital berada ya ?",kemana inflasi rupiah masih bukan pasar saham pasar saham snp all time high ditengah uncertainty naik cetak uang bitcoin dimana kapital,21
@flocqi Indonesian Rupiah,indonesi rupiah,2
"2008: Lonjakan harga minyak - Influenza H1N1

2014: Kejatuhan harga minyak - Ebola 

2020: Kejatuhan harga minyak - Covid

2026: Lonjakan harga minyak - Hantavirus

harga minyak dunia bergerak dalam siklus naik dan turun yang sering bertepatan dengan wabah virus? https://t.co/F21ThQQpkH",lonja harga minyak influenza h1n1 kejatuh harga minyak ebola kejatuh harga minyak covid lonja harga minyak hantavirus harga minyak dunia bergerak siklus naik turun bertepat wabah virus,27
"betulla pasal harga minyak naik ni, terasa betul woo sekarang drive 😭😭",betulla pasal harga minyak naik woo drive sedih,8
"Damn, sekarang harga tempenya naik jadi 5k. Ukurannya tambah gede sih untungnya 🤤🤤🤤",damn harga tempenya naik ukurannya gede untungnya,7
"Ini Bukan Sekadar Cerita Kurs
Ketika rupiah menyentuh Rp17.500-Rp18.000,- ini adalah cerita tentang:
- piring yang perlahan makin kosong,
- cicilan yang terasa makin berat,
- ruang hidup yang semakin sempit,
- dan masa depan yang mulai terlihat kabur.

https://t.co/cmGJ73igRq",bukan cerita kurs rupiah menyentuh rupiah cerita piring perlah kosong cicil berat ruang hidup sempit kabur,16
@hellenystic 2000 rupiah kah itu,rupiah kah,2
"Chief Investment Officer (CIO) Bitwise Matt Hougan mengatakan bukan Bitcoin (BTC) atau emas yang melemah, namun mata uang fiat. Rupiah menjadi salah satu contoh, karena sempat menjadi mata uang terlemah ke-5 dunia terhadap dolar AS. Lalu, bagaimana faktanya https://t.co/sauysNCffD",chief investment officer cio bitwise matt hougan bitcoin_negated btc emas melemah mata uang fiat rupiah salah contoh mata uang terlemah dunia dolar faktanya,23
Tiga Dapur yang Paling Merasakan Sesaknya Nilai Rupiah yang Semakin Anjlok https://t.co/H4cAn0oukd,dapur merasa sesaknya nilai rupiah anjlok,6
"@dewdropsde30515 @Dara_Cega aslinya harga pertamax lebih mahal, cuma pemerintah neken harga pertamax, jadi pertamina jual rugi, tapi kerugiannya ditutup pake harga turbo yang naik, subsidi silang gitu",aslinya harga pertamax mahal pemerintah neken harga pertamax pertamina jual rugi kerugiannya ditutup pake harga turbo naik subsidi silang,19
10jt rupiah di jakarta jg abis bayar kos yg manusiawi sekitar 4-5 bln :/,jutaan rupiah jakarta abis bayar kos manusiaw bln,8
"@tanyarlfes Aku euro Nder, karena emang tinggal di eropa sih dan lumayan kalau lagi naik rupiah aku tuker",euro nder tinggal eropa lumay naik rupiah tuker,8
"{Testimoni 132} #ProofbyPiy #TestibyPiy

📌 Transfer IDR Rupiah to USD Paypal ($106 USD)

Tag. Transfer exchange money changer currency ww IDR rupiah indonesia peso peso philippines usd us dollar ringgit malaysia RM singapore SGD thai thailand Baht trusted https://t.co/QjrazHCvs9",testimon proofbypiy testibypiy transfer rupiah dolar paypal dolar tag transfer exchange money changer currency rupiah indonesia peso philippines dolar dollar ringgit malaysia singapore sgd thai thailand baht trusted,28
"{Testimoni 131} #ProofbyPiy #TestibyPiy

📌 Transfer IDR Rupiah to THB Baht (280 Baht)

Tag. Transfer exchange money changer currency ww IDR rupiah indonesia peso peso philippines usd us dollar ringgit malaysia RM singapore SGD thai thailand Baht trusted https://t.co/IK4BymnLFj",testimon proofbypiy testibypiy transfer rupiah thb baht tag transfer exchange money changer currency rupiah indonesia peso philippines dolar dollar ringgit malaysia singapore sgd thai thailand baht trusted,27
@asjaeminbaby betul.. melihat rupiah yg semakin tergerus jadi khawatir..,rupiah tergerus khawatir,3
"@gemistale valas itu aman buat ngamanin rupiah kak, untungnya belakangan yg penting inflasinya ga ngaruhh",valas aman ngamanin rupiah untungnya inflasinya ngaruhh_negated,7
"@duasatulimatiga tapi aku liat2 harga ringgitnya sama kayak point, 1 americano udah dapat kopi point yang large, sama sama 30rban (menangisi rupiah rendah)",liat2 harga ringgitnya point americano dapat kopi point large ribuan menangisi rupiah rendah,13
